Region,Community,Population,Lat,Lon
Yukon,Ibex Valley,523,60.8494,-135.639
British Columbia,Stewart,517,55.9418,-129.984
Northwest Territories,Fort Good Hope,507,66.257,-128.6377
British Columbia,Chehalis,500,49.2918,-121.911
British Columbia,New Denver,487,49.9917,-117.374
British Columbia,Iskut,478,57.8466,-129.983
British Columbia,Masset,475,54.0174,-132.147
British Columbia,Port Edward,470,54.2224,-130.288
Yukon,Mt. Lorne,468,60.4126,-134.952
Northwest Territories,Fort Liard,468,60.2392,-123.4752
British Columbia,Matsqui,456,49.006,-122.476
British Columbia,Alert Bay,449,50.5789,-126.92
Yukon,Faro,440,62.2274,-133.35
British Columbia,Enderby,440,50.5549,-119.141
Northwest Territories,Fort Resolution,412,61.171,-113.6721
Northwest Territories,Ulukhaktok,408,70.7366,-117.772
British Columbia,Gitanyow,408,55.2676,-128.072
Northwest Territories,Tulita,396,64.9006,-125.5763
British Columbia,Tahsis,393,49.9303,-126.655
British Columbia,Alert Bay,382,50.5789,-126.92
British Columbia,Slocan,379,49.7667,-117.467
British Columbia,Alkali Lake,358,51.788,-122.227
Yukon,Ross River,355,61.9779,-132.449
British Columbia,Coldwater,350,50.0358,-120.859
British Columbia,Port Clements,340,53.6852,-132.179
British Columbia,Granisle,337,54.8844,-126.213
British Columbia,Sayward,334,50.377,-125.952
Northwest Territories,Lutselk'e,333,62.4041,-110.7382
Yukon,Carcross,317,60.1694,-134.701
Yukon,Pelly Crossing,316,62.8198,-136.574
Yukon,Tagish,311,60.31,-134.266
Northwest Territories,Paulatuk,298,69.3503,-124.06
British Columbia,Comox,291,49.6739,-124.928
British Columbia,Kitselas,291,54.6167,-128.417
British Columbia,Lillooet,285,50.6941,-121.939
British Columbia,Neskonlith,279,50.7739,-119.716
Northwest Territories,Hay River Dene,259,60.7939,-115.704
British Columbia,Hazelton,257,55.2546,-127.676
British Columbia,Moricetown,253,55.0183,-127.331
Northwest Territories,Gamètì,252,64.1129,-117.3525
British Columbia,Williams Lake,248,52.1415,-122.143
British Columbia,Fort Ware,242,57.4252,-125.633
British Columbia,Bridge River,242,50.7808,-121.975
Yukon,Teslin,239,60.1683,-132.719
Yukon,Old Crow,236,67.5729,-139.829
British Columbia,Wells,218,53.1041,-121.571
British Columbia,Homalco,214,49.9526,-125.243
British Columbia,Lytton,210,50.2316,-121.583
British Columbia,Cheam,207,49.1942,-121.776
Northwest Territories,Dettah,192,62.4112,-114.3084
Yukon,Mayo,188,63.5931,-135.896
British Columbia,Hagwilget,183,55.2546,-127.596
British Columbia,Bonaparte,159,50.8383,-121.378
British Columbia,Halalt,156,48.8769,-123.692
British Columbia,Opitsat,153,49.1751,-125.912
British Columbia,Silverton,149,49.9528,-117.358
Northwest Territories,Tsiigehtchic,138,67.4424,-133.7424
Yukon,Upper Liard,130,60.0545,-128.923
British Columbia,Zeballos,126,49.987,-126.847
British Columbia,Esquimalt,120,48.4289,-123.408
Northwest Territories,Wrigley,117,63.2268,-123.4667
British Columbia,Deep Creek,111,50.6094,-119.213
Northwest Territories,Colville Lake,110,67.0399,-126.0912
Northwest Territories,Wekweètì,109,64.1892,-114.1861
British Columbia,Union Bay,109,49.5802,-124.885
Northwest Territories,Sachs Harbour,104,71.9867,-125.2505
British Columbia,Toosey,104,51.9323,-122.506
